webpage,rating,tweet,uid
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",-1,"52ae153700323226c58dda47","9d446b2940cf44b184cbc8f3fe05e376"
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",-1,"52ade5df00323226c491406d","9d446b2940cf44b184cbc8f3fe05e376"
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",1,"52adf93d00323226c4f9574b","9d446b2940cf44b184cbc8f3fe05e376"
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",-1,"52adf3bd00323226c4df55b5","9d446b2940cf44b184cbc8f3fe05e376"
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",-1,"52ae12d400323226c5819554","9d446b2940cf44b184cbc8f3fe05e376"
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",1,"52adf87500323226c4f438e5","9d446b2940cf44b184cbc8f3fe05e376"
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",-1,"52ae42b400323226c669b310","9d446b2940cf44b184cbc8f3fe05e376"
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",-1,"52ae4d7300323226c6a1eb02","9d446b2940cf44b184cbc8f3fe05e376"
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",1,"52adf8bb00323226c4f61500","9d446b2940cf44b184cbc8f3fe05e376"
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",-1,"52ae092f00323226c54bc280","9d446b2940cf44b184cbc8f3fe05e376"
